,Name,Company,Country
304,BikeBH,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
305,BikePetrolina,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
306,JesinBici,['Comunicare S.r.l.'],IT
307,nbici,['Comunicare S.r.l.'],ES
308,BikeBrasilia,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
309,GynDebike,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
310,Treviso,['Comunicare S.r.l.'],IT
311,Bicicletar,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
312,CajuBike,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
313,Bike Belém,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
314,Sondrio,['Comunicare S.r.l.'],IT
315,BikeSantos,"['Mobilicidade Tecnologia LTD', 'Grupo Serttel LTDA']",BR
316,Vercelli,['Comunicare S.r.l.'],IT
317,Portofino Park and Bike,['Comunicare S.r.l.'],IT
318,Mi bici tu bici,"['Mobilicidade Tecnologia LTD', 'Municipalidad de Rosario']",AR
319,Citi Bike Miami,['DecoBike LLC'],US
320,Decobike San Diego,['DecoBike LLC'],US
321,Meglio in Bici,['Comunicare S.r.l.'],IT
322,Battle Creek B-cycle,"['Trek Bicycle Corporation', 'Humana', 'Crispin Porter + Bogusky']",US
323,Des Moines B-cycle,"['Trek Bicycle Corporation', 'Humana', 'Crispin Porter + Bogusky']",US
324,Comunità Montana Valli dell'Ossola,['Comunicare S.r.l.'],IT
325,Greenville B-cycle,"['Trek Bicycle Corporation', 'Humana', 'Crispin Porter + Bogusky']",US
326,Bicincittà,['Comunicare S.r.l.'],IT
327,Nashville B-cycle,"['Trek Bicycle Corporation', 'Humana', 'Crispin Porter + Bogusky']",US
328,Bicincittà,['Comunicare S.r.l.'],CH
329,Columbia County B-cycle,"['Trek Bicycle Corporation', 'Humana', 'Crispin Porter + Bogusky']",US
330,Bicincittà,['Comunicare S.r.l.'],IT
331,CAT Bike,"['Trek Bicycle Corporation', 'Humana', 'Crispin Porter + Bogusky']",US
332,Bicincittà,['Comunicare S.r.l.'],IT
333,Rapid City B-cycle,"['Trek Bicycle Corporation', 'Humana', 'Crispin Porter + Bogusky']",US
334,Bicincittà,['Comunicare S.r.l.'],CH
